channel_name,message_id,image_path,detected_class,confidence_score,image_category
lobelia4cosmetics,26326,data/raw/images/lobelia4cosmetics/26326.jpg,bottle,0.2713,product_display
lobelia4cosmetics,26327,data/raw/images/lobelia4cosmetics/26327.jpg,bottle,0.5669,product_display
lobelia4cosmetics,26327,data/raw/images/lobelia4cosmetics/26327.jpg,bottle,0.3779,product_display
lobelia4cosmetics,26327,data/raw/images/lobelia4cosmetics/26327.jpg,bottle,0.2699,product_display
lobelia4cosmetics,26327,data/raw/images/lobelia4cosmetics/26327.jpg,bottle,0.264,product_display
lobelia4cosmetics,26327,data/raw/images/lobelia4cosmetics/26327.jpg,bottle,0.2567,product_display
lobelia4cosmetics,26328,data/raw/images/lobelia4cosmetics/26328.jpg,,,other
lobelia4cosmetics,26329,data/raw/images/lobelia4cosmetics/26329.jpg,book,0.2522,product_display
lobelia4cosmetics,26330,data/raw/images/lobelia4cosmetics/26330.jpg,,,other
lobelia4cosmetics,26331,data/raw/images/lobelia4cosmetics/26331.jpg,person,0.6776,lifestyle
lobelia4cosmetics,26331,data/raw/images/lobelia4cosmetics/26331.jpg,stop sign,0.2888,lifestyle
lobelia4cosmetics,26332,data/raw/images/lobelia4cosmetics/26332.jpg,,,other
lobelia4cosmetics,26333,data/raw/images/lobelia4cosmetics/26333.jpg,bottle,0.8742,product_display
lobelia4cosmetics,26333,data/raw/images/lobelia4cosmetics/26333.jpg,dining table,0.3456,product_display
lobelia4cosmetics,26333,data/raw/images/lobelia4cosmetics/26333.jpg,bottle,0.3282,product_display
lobelia4cosmetics,26333,data/raw/images/lobelia4cosmetics/26333.jpg,bottle,0.2891,product_display
lobelia4cosmetics,26334,data/raw/images/lobelia4cosmetics/26334.jpg,bottle,0.5591,product_display
lobelia4cosmetics,26334,data/raw/images/lobelia4cosmetics/26334.jpg,bottle,0.5129,product_display
lobelia4cosmetics,26334,data/raw/images/lobelia4cosmetics/26334.jpg,bottle,0.4146,product_display
lobelia4cosmetics,26334,data/raw/images/lobelia4cosmetics/26334.jpg,bottle,0.256,product_display
lobelia4cosmetics,26335,data/raw/images/lobelia4cosmetics/26335.jpg,,,other
lobelia4cosmetics,26336,data/raw/images/lobelia4cosmetics/26336.jpg,,,other
lobelia4cosmetics,26337,data/raw/images/lobelia4cosmetics/26337.jpg,,,other
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.5097,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.5074,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,dining table,0.4609,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.4239,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.4207,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,cup,0.3684,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.3385,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.326,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.3152,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.3124,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.2993,product_display
lobelia4cosmetics,26338,data/raw/images/lobelia4cosmetics/26338.jpg,bottle,0.2902,product_display
lobelia4cosmetics,26339,data/raw/images/lobelia4cosmetics/26339.jpg,person,0.3117,lifestyle
lobelia4cosmetics,26340,data/raw/images/lobelia4cosmetics/26340.jpg,bottle,0.5939,product_display
lobelia4cosmetics,26341,data/raw/images/lobelia4cosmetics/26341.jpg,bottle,0.6115,product_display
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,bottle,0.9345,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,person,0.7855,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,person,0.6679,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,orange,0.4591,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,orange,0.3661,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,person,0.3541,promotional
lobelia4cosmetics,26343,data/raw/images/lobelia4cosmetics/26343.jpg,orange,0.3525,promotional
lobelia4cosmetics,26344,data/raw/images/lobelia4cosmetics/26344.jpg,,,other
lobelia4cosmetics,26345,data/raw/images/lobelia4cosmetics/26345.jpg,person,0.8894,lifestyle
lobelia4cosmetics,26345,data/raw/images/lobelia4cosmetics/26345.jpg,person,0.7644,lifestyle
lobelia4cosmetics,26345,data/raw/images/lobelia4cosmetics/26345.jpg,person,0.5231,lifestyle
lobelia4cosmetics,26346,data/raw/images/lobelia4cosmetics/26346.jpg,person,0.8004,lifestyle
lobelia4cosmetics,26347,data/raw/images/lobelia4cosmetics/26347.jpg,bottle,0.8742,product_display
lobelia4cosmetics,26347,data/raw/images/lobelia4cosmetics/26347.jpg,dining table,0.3456,product_display
lobelia4cosmetics,26347,data/raw/images/lobelia4cosmetics/26347.jpg,bottle,0.3282,product_display
lobelia4cosmetics,26347,data/raw/images/lobelia4cosmetics/26347.jpg,bottle,0.2891,product_display
lobelia4cosmetics,26348,data/raw/images/lobelia4cosmetics/26348.jpg,bottle,0.7407,product_display
lobelia4cosmetics,26349,data/raw/images/lobelia4cosmetics/26349.jpg,bottle,0.8619,product_display
lobelia4cosmetics,26350,data/raw/images/lobelia4cosmetics/26350.jpg,orange,0.8507,product_display
lobelia4cosmetics,26350,data/raw/images/lobelia4cosmetics/26350.jpg,orange,0.7533,product_display
lobelia4cosmetics,26350,data/raw/images/lobelia4cosmetics/26350.jpg,bowl,0.4617,product_display
lobelia4cosmetics,26350,data/raw/images/lobelia4cosmetics/26350.jpg,dining table,0.4286,product_display
lobelia4cosmetics,26351,data/raw/images/lobelia4cosmetics/26351.jpg,cup,0.354,product_display
lobelia4cosmetics,26352,data/raw/images/lobelia4cosmetics/26352.jpg,bottle,0.524,product_display
lobelia4cosmetics,26353,data/raw/images/lobelia4cosmetics/26353.jpg,parking meter,0.2865,product_display
lobelia4cosmetics,26353,data/raw/images/lobelia4cosmetics/26353.jpg,cell phone,0.2592,product_display
lobelia4cosmetics,26354,data/raw/images/lobelia4cosmetics/26354.jpg,,,other
